Minutes,Hours,Temperature,Well,OD_reading,Isolate,MIC,Conc_ppm,Condition,Avg,reps
1520,25.33333333333333,37,A1,0.0722,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1530,25.5,37,A1,0.074,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1540,25.66666666666667,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1550,25.83333333333333,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1560,26,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1570,26.16666666666667,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1580,26.33333333333333,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1590,26.5,37,A1,0.0741,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1600,26.66666666666667,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1610,26.83333333333333,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1620,27,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1630,27.16666666666667,37,A1,0.0742,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1640,27.33333333333333,37,A1,0.0736,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1650,27.5,37,A1,0.0722,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1660,27.66666666666667,37,A1,0.073,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1670,27.83333333333333,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1680,28,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1690,28.16666666666667,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1700,28.33333333333333,37,A1,0.0736,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1710,28.5,37,A1,0.074,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1720,28.66666666666667,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1730,28.83333333333333,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1740,29,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1750,29.16666666666667,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1760,29.33333333333333,37,A1,0.0736,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1770,29.5,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1780,29.66666666666667,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1790,29.83333333333333,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1800,30,37,A1,0.0716,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1810,30.16666666666667,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1820,30.33333333333333,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1830,30.5,37,A1,0.0721,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1840,30.66666666666667,37,A1,0.0727,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1850,30.83333333333333,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1860,31,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1870,31.16666666666667,37,A1,0.0721,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
